Country;Year;Corruption Control;Regulatory Quality;Rule of Law;Government Effectiveness;;;;;;;;;;;;;
;;;;;ROA;-2.046e+04;6739.3;-3.0364;0.0024;-3.368e+04;-7246.6;;Estimator:;PanelOLS;R-squared (Between):;-8.3909;;
;;;;;Cash;6.352e+07;5.408e+07;1.1746;0.2403;-4.254e+07;1.696e+08;;No. Observations:;2991;R-squared (Within):;0.0491;;
;;;;;NetIncome;0.0078;0.0045;янв.52;0.0811;-0.0010;0.0166;;Date:;Sat, Jun 03 2023;R-squared (Overall):;-5.1780;;
;;;;;;;;;;;;;Time:;0:50:13;Log-likelihood;-5.915e+04;;
;;;;;;;;;;;;;Cov. Estimator:;Clustered;;;;
;;;;;;;;;;;;;;;F-statistic:;25.623;;
;;;;;;;;;;;;;Entities:;1000;P-value;0.0000;;
;;;;;;;;;;;;;Avg Obs:;фев.10;Distribution:;F(4,1987);;
;;;;;;;;;;;;;Min Obs:;1.0000;;;;
;;;;;;;;;;;;;Max Obs:;5.0000;F-statistic (robust):;апр.37;;
;;;;;;;;;;;;;;;P-value;0.0008;;
;;;;;;;;;;;;;Time periods:;4;Distribution:;F(4,1987);;
;;;;;;;;;;;;;Avg Obs:;747.75;;;;
;;;Dep. Variable:;DividendsPayable;R-squared:;0.495;;;;;;;Min Obs:;558.00;;;;
;;;Estimator:;PanelOLS;Log-likelihood;-591;;;;;;;Max Obs:;890.00;;;;
;;;No. Observations:;2991;F-statistic:;20.682;;;;;;;;;;;;
;;;Date:;Sat, Jun 03 2023;P-value;0.0000;;;;;;;;;;;;
;;;Time:;0:56:25;Distribution:;F(5,1986);;;;;;;;;;;;
;;;Cov. Estimator:;Clustered;Time periods:;4;;;;;;;;;;;;
;;;Avg Obs:;фев.10;Avg Obs:;747.75;;;;;;;;;;;;
;;;Min Obs:;1.0000;Min Obs:;558.00;;;;;;;;;;;;
;;;Max Obs:;5.0000;Max Obs:;890.00;;;;;;;;;;;;
;;;Max Obs:;5.0000;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Time periods:;4;;;;;;;;;;;;;;
;;;Avg Obs:;747.75;;;;;;;;;;;;;;
;;;Min Obs:;558.00;;;;;;;;;;;;;;
;;;Max Obs:;890.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Dep. Variable:;DividendsPayable;R-squared:;0.481;;;;;;;Parameter;Std. Err.;T-stat;P-value;;
;;;Estimator:;PanelOLS;Log-likelihood;-612;;;;;;Size;1.855e+07;6.255e+06;фев.52;0.0031***;;
;;;No. Observations:;2991;F-statistic:;25.091;;;;;;ROA;-1.985e+04;6387.9;-3.1068;0.0019***;;
;;;Date:;Sat, Jun 03 2023;P-value;0.0000;;;;;;NetIncome;0.0079;0.0045;янв.17;0.0800*;;
;;;Time:;1:35:16;Distribution:;F(4,1987);;;;;;RegulatoryQuality;3.116e+07;4.169e+07;0.7475;0.4549;;
;;;Cov. Estimator:;Clustered;Time periods:;4;;;;;;;;;;;;
;;;Entities:;1000;Avg Obs:;747.75;;;;;;;;;;;;
;;;Avg Obs:;фев.10;Min Obs:;558.00;;;;;;;Parameter;Std. Err.;P-value;;;
;;;Min Obs:;1.0000;Max Obs:;890.00;;;;;;Size;1.855e+07;6.255e+06;0.0031***;;;
;;;Max Obs:;5.0000;;;;;;;;ROA;-1.985e+04;6387.9;0.0019***;;;
;;;Max Obs:;5.0000;;;;;;;;NetIncome;0.0079;0.0045;0.0800*;;;
;;;;;;;;;;;;RegulatoryQuality;3.116e+07;4.169e+07;0.4549;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Коэф;Std. Err.;P-value;;;
;;;;;;;;;;;;Size;1.921e+07;6.501e+06;0.0032;;;
;;;;;;;;;;;;ROA;-2.048e+04;6557.5;0.0018;;;
;;;Dep. Variable:;DividendsPayable;R-squared:;0.492;;;;;;NetIncome;0.0078;0.0045;0.0830;;;
;;;Estimator:;PanelOLS;Log-likelihood;-591;;;;;;EPU;-7860.1;2.314e+04;0.7341;;;
;;;No. Observations:;2991;F-statistic:;20.552;;;;;;RuleOfLaw;-5.263e+07;3.557e+07;0.1391;;;
;;;Date:;Sat, Jun 03 2023;P-value;0.0000;;;;;;;;;;;;
;;;Time:;1:47:13;Distribution:;F(5,1986);;;;;;;;;;;;
;;;Cov. Estimator:;Clustered;Time periods:;4;;;;;;;Parameter;Std. Err.;P-value;;;
;;;Entities:;1000;Avg Obs:;747.75;;;;;;Size;1.921e+07;6.501e+06;0.0032***;;;
;;;Avg Obs:;фев.10;Min Obs:;558.00;;;;;;ROA;-2.048e+04;6557.5;0.0018***;;;
;;;Min Obs:;1.0000;Max Obs:;890.00;;;;;;NetIncome;0.0078;0.0045;0.0830*;;;
;;;Max Obs:;5.0000;;;;;;;;EPU;-7860.1;2.314e+04;0.07**;;;
;;;Max Obs:;5.0000;;;;;;;;RuleOfLaw;-5.263e+05;3.557e+05;0.09*;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
